"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051016","barbed-end actin filament capping","15/5644","25/18888",0.6,2.00793763288448,3.29202927932215,0.00168983481589032,0.0264338446199986,0.0215862487370796,"SVIL/RDX/EPS8/TWF1/AVIL/FLII/ADD2/CAPG/VIL1/TRIOBP/VILL/ADD1/CRACD/CARMIL1/SCIN",15
"GO:0090257","regulation of muscle system process","95/5644","245/18888",0.387755102040816,1.29764676955119,3.06120012535865,0.00169569913912448,0.0264604059768539,0.0216079391140988,"RNF207/SLC9A1/CASQ2/ATP1A1/GJA5/ATP1B1/CACNA1S/TNNT2/PPP1R12B/ADORA1/MYBPH/ATP2B4/AGT/RYR2/PRKG1/CTNNA3/CAMK2G/ADRA2A/GLRX3/KCNQ1/MYBPC3/GRK2/CACNA1C/PKP2/TWF1/NR4A1/ATP2B1/ACACB/TRPV4/ATP2A2/MYL2/NOS1/P2RX4/PRKD1/AKAP6/SLC8A3/CALM1/SETD3/YY1/HSP90AA1/TPM1/SMAD3/HCN4/CHRNA3/CHRNB4/MEF2A/ABAT/JUP/MIR21/RPS6KB1/SCN4A/PRKCA/CACNG1/SMAD7/SMAD4/TNNT1/CALM2/TACR1/MSTN/PRKAG3/HDAC4/TNNC2/GATA5/MIR1-1/LMCD1/CAV3/OXTR/PPARG/SCN5A/DAG1/FOXP1/GHSR/DLG1/ADRA2C/NMU/PPP3CA/ITGA2/PDE4D/TIFAB/NMUR2/EDN1/JARID2/FOXO3/GPER1/CAMK2B/GTF2IRD1/SRI/AKAP9/PIK3CG/DOCK4/NOS3/KCNB2/FBXO32/MYMK/FGF13",95
"GO:0048864","stem cell development","39/5644","86/18888",0.453488372093023,1.5176272806685,3.14072394147604,0.00170786121105641,0.0265848689985767,0.0217095773655184,"SEMA6C/KLHL12/NRP1/RET/NOLC1/FOLR1/BMP4/ALDH1A2/SEMA7A/SEMA4B/SOX8/MAPK3/MSI2/SEMA4C/NRP2/ERBB4/FN1/OVOL2/BMP7/EDN3/LAMA5/TBX1/WNT7A/SEMA3B/KBTBD8/SEMA5B/HES1/PITX2/PDCD6/SEMA5A/ISL1/TCOF1/EDN1/RADIL/SEMA3C/SEMA3E/SEMA3A/SHH/SEMA4D",39
"GO:0001541","ovarian follicle development","28/5644","57/18888",0.491228070175439,1.6439255473908,3.17835057532413,0.00173322156825216,0.0269136679216858,0.0219780791835759,"MSH4/ANG/SCAPER/SMAD4/LHCGR/FSHR/INHBB/TNFAIP6/NPPC/CEBPB/SPO11/TAF4/UMODL1/EIF2B5/KDR/BMPR1B/CTNNA1/CGA/FOXO3/ESR1/LFNG/INHBA/ZP3/VGF/IMMP2L/DMRTA1/ZFX/PCYT1B",28
"GO:0045017","glycerolipid biosynthetic process","98/5644","254/18888",0.385826771653543,1.29119349096246,3.0500775548975,0.00174273581833347,0.0269934225237483,0.0220432079116439,"PIK3CD/PIGV/MFSD2A/SLC44A5/ACP6/PIP5K1A/PI4KB/PLA2G4A/ETNK2/PIK3C2B/GNPAT/PIP4K2A/PLCE1/PI4K2A/GPAM/DGKZ/NR1H3/DAGLA/MOGAT2/DGAT2/UVRAG/AVIL/PITPNM2/SCARB1/TPTE2/HTR2A/ANG/ABHD4/PIGH/TTC7B/PIGQ/VAC14/PLCG2/ALOX15/PEMT/SREBF1/DGKE/MTMR4/PGS1/C3/SLC27A1/PIK3R2/PLA2G4C/SH3YL1/LPIN1/EFR3B/TTC7A/INPP4A/PGAP1/ACSL3/DGKD/SLA2/LPIN3/PIGT/DPM1/PCK1/LIPI/PIGP/AGPAT3/PI4KA/MTMR3/INPP5J/PISD/PLA2G6/TAMM41/ABHD5/PIK3R4/PIK3CB/PLD1/DGKG/PCYT1A/PIGX/PIGZ/DGKQ/GPAT3/INPP4B/LPCAT1/SLC30A5/MIR548P/GPLD1/SYNJ2/PDGFA/DAGLB/DGKB/MOGAT3/PIK3CG/BPNT2/FABP5/IMPA1/PTDSS1/EFR3A/GPAA1/PIP5K1B/SLC44A1/PIP5KL1/PCYT1B/OCRL/MTMR1",98
"GO:0045859","regulation of protein kinase activity","170/5644","470/18888",0.361702127659574,1.21045885670341,3.01620119807538,0.00174685823606685,0.0269934225237483,0.0220432079116439,"SFN/CLSPN/PSRC1/PTPN22/IL6R/EFNA1/KIF14/ATP2B4/LAX1/TGFB2/AGT/ABI1/CCNY/ADRA2A/BCCIP/MAPK8IP1/PTPRJ/MARK2/LRP5/CCND1/RPS3/UVRAG/PAK1/DUSP16/PTPRO/MAP3K12/AGAP2/PTPRQ/PLA2G1B/LATS2/FLT3/FLT1/ANG/SNX6/FERMT2/CDKN3/SLC8A3/CALM1/WARS1/HSP90AA1/AKT1/RASGRP1/CCNB2/MAP2K1/CHRNA3/CEMIP/NTRK3/IQGAP1/NR2F2/AXIN1/CCNF/PKMYT1/TFAP4/EMP2/GPRC5B/PLK1/PYDC1/PIK3R6/PIK3R5/SMCR8/KSR1/UNC119/CCR7/CDK5RAP3/PHB1/TOM1L1/MMD/PPM1E/SMG8/MIR21/STRADA/GH1/ERN1/AXIN2/PRKAR1A/NHERF1/CARD14/MAP2K2/INSR/CDC37/CCNE1/MAP3K10/CCNP/APOE/C5AR1/RASIP1/CALM2/IL1B/RALB/ALS2/CCNYL1/CDK5R2/CAB39/COPS8/TRIB3/BMP2/TPX2/CDK5RAP1/PKIG/PTPN1/EDN3/PTK6/ADARB1/CAV3/PPARG/PRKCD/ROBO1/CD86/DIPK2A/WWTR1/RAP2B/CAMK2N2/MAP3K13/PAK2/ZFYVE28/HTT/DOK7/ADRA2C/MIR218-1/PPEF2/EGF/RAPGEF2/PRLR/CARTPT/APC/MACROH2A1/CDC25C/SPRY4/FGF1/LCP2/FGF18/RGS14/MRNIP/NEDD9/EDN1/DTNBP1/STK38/CCND3/TTBK1/PKIB/TPD52L1/SASH1/PDGFA/PRKAR1B/MMD2/ACTB/HSPB1/YWHAG/PRKRIP1/RELN/PIK3CG/PRKAR2B/LEP/EZH2/PRKAG2/ADAM9/LYN/PKIA/CCNE2/DEPTOR/ADCY8/PTK2/JAK2/GNAQ/DAB2IP/ABL1/SYAP1/DDX3X/DLG3/RAP2C",170
"GO:0001649","osteoblast differentiation","99/5644","257/18888",0.385214007782101,1.28914283823323,3.04667637674751,0.00175717110841589,0.0270868779357993,0.0221195249135541,"CTNNBIP1/EPHA2/WNT4/ID3/IL6R/MEF2D/MYOC/DHX9/WNT3A/MIR346/SUFU/FGFR2/CREB3L1/LRP5/FGF23/HDAC7/WNT10B/HNRNPC/PRKD1/FERMT2/BMP4/SMOC1/AKT1/SMAD6/SMAD3/ITGA11/SEMA7A/SOX8/CBFB/WWOX/PHB1/TOB1/NOG/CLTC/MIR21/MRC2/CCDC47/DDX5/AXIN2/MAP2K6/ALYREF/SMAD4/TPM4/FBL/SOX11/FOSL2/CRIM1/FHL2/ACVR2A/TNFAIP6/SATB2/BMPR2/NPPC/ERFE/BMP2/RRBP1/ZHX3/SNAI1/CEBPB/CYP24A1/BMP7/COL6A1/PPARG/PTH1R/GSK3B/WWTR1/SHOX2/IFT80/SOX2/TP63/REST/BMPR1B/PPP3CA/RANBP3L/HSD17B4/FBN2/MSX2/BMP6/SCUBE3/MAPK14/RUNX2/SYNCRIP/UFL1/GJA1/FAM20C/IL6/GLI3/FIGNL1/CDK6/BCAP29/SHH/TMEM64/CTHRC1/RSPO2/CCN4/PTK2/SEMA4D/HEMGN/GDPD2",99
"GO:0140747","regulation of ncRNA transcription","43/5644","97/18888",0.443298969072165,1.48352780436482,3.11671994318937,0.00177483893926382,0.0272929833008827,0.0222878334490961,"NOTCH2/IL10/TGFB2/AGT/GATA3/ZNF143/TEAD1/MYOD1/NCOR2/FOXA1/BMP4/FOS/YY1/SMAD6/SMAD3/NFATC3/NCOR1/SREBF1/NGFR/NOL11/GATA6/SMAD4/NOTCH3/MYCN/BMP2/ZNF512B/MRTFA/PPARG/GATA2/REST/TERT/MACROH2A1/NR3C1/PPARD/FOXO3/MYB/ESR1/MYBL1/MYC/NFIB/IPPK/KLF4/AR",43
"GO:0003279","cardiac septum development","47/5644","108/18888",0.435185185185185,1.45637451767856,3.10492330724849,0.00178673957065607,0.0273435735258716,0.0223291461372795,"HEYL/NOTCH2/GJA5/MDM4/TGFB2/GATA3/NRP1/SUFU/FGFR2/PARVA/PDE2A/MDM2/FRS2/TBX5/BMP4/SMAD6/STRA6/ZFPM1/FZD2/NOG/MKS1/GATA6/SMAD7/SMAD4/SOX11/BMPR2/NRP2/SALL4/BMP7/MIR1-1/TBX1/ROBO1/PLXND1/HES1/RBPJ/ISL1/HAND1/SLIT3/MSX2/MAML1/PRDM1/TBX20/SEMA3C/NOS3/CHD7/ZFPM2/CNTRL",47
"GO:1902414","protein localization to cell junction","47/5644","108/18888",0.435185185185185,1.45637451767856,3.10492330724849,0.00178673957065607,0.0273435735258716,0.0223291461372795,"JAK1/MPP7/KIF5B/DLG5/LGI1/RAPSN/NRXN2/DLG2/TAMALIN/GRIP1/FERMT2/ADAM10/RAB11A/CDH5/MARVELD3/ZDHHC7/PECAM1/BAIAP2/ACTG1/TJP3/ARHGEF18/NPHS1/SHANK1/MPP4/ERBB4/SNAP25/STAU1/WNT7A/GRIP2/DAG1/ILDR1/GHSR/NLGN1/PAK2/DLG1/CPLX1/NSG1/MAPK9/ACTB/HSPB1/PCLO/RELN/ZDHHC2/STAU2/TJP2/OGT/GPC4",47
